id_module,module,id_group,group,id_class,class,level,,,,,,,,,,,,,,
90,Escatología (Apocalipsis) Futuro del Hombre y Profecía,28,Escatología (Apocalipsis) Futuro del Hombre y Profecía,493,Escatología (Apocalipsis) Futuro del Hombre y Profecía,2,,,,,,,,,,,,,,
91,Crecimiento Espiritual II -  El Poder de la Fe,29,Crecimiento Espiritual II -  El Poder de la Fe,494,Crecimiento espiritual,2,,,,,,,,,,,,,,
91,Crecimiento Espiritual II -  El Poder de la Fe,29,Crecimiento Espiritual II -  El Poder de la Fe,495,El privilegio de ser hijo de Dios,2,,,,,,,,,,,,,,
91,Crecimiento Espiritual II -  El Poder de la Fe,29,Crecimiento Espiritual II -  El Poder de la Fe,496,El poder de la pureza,2,,,,,,,,,,,,,,
91,Crecimiento Espiritual II -  El Poder de la Fe,29,Crecimiento Espiritual II -  El Poder de la Fe,497,La amargura,2,,,,,,,,,,,,,,
95,Dones Ministeriales,30,Dones Ministeriales,498,Dones Ministeriales,2,,,,,,,,,,,,,,
96,Dones del Espiritu Santo,31,Dones del Espiritu Santo,499,Dones del Espiritu Santo,2,,,,,,,,,,,,,,
97,Teología Cristiana II - Doctrinas Fundamentales de la Biblia,32,Teología Cristiana II - Doctrinas Fundamentales de la Biblia,500,Teologia,2,,,,,,,,,,,,,,
97,Teología Cristiana II - Doctrinas Fundamentales de la Biblia,32,Teología Cristiana II - Doctrinas Fundamentales de la Biblia,501,Terminos Teologicos,2,,,,,,,,,,,,,,
99,Base de Filosofía Cristiana,33,Base de Filosofía Cristiana,502,Base de Filosofía Cristiana,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,34,Sicología Cristiana Pastoral 1,503,Introduccion,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,34,Sicología Cristiana Pastoral 1,504,El estrés,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,34,Sicología Cristiana Pastoral 1,505,Bornout,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,34,Sicología Cristiana Pastoral 1,506,Soledad,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,35,Sicología Cristiana Pastoral 2,509,La culpa,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,35,Sicología Cristiana Pastoral 2,510,El amor,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,35,Sicología Cristiana Pastoral 2,513,Los celos,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,35,Sicología Cristiana Pastoral 2,514,"Pobreza, Valores humanos y sexualidad",2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,36,Sicología Cristiana Pastoral 3,507,Timidez,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,36,Sicología Cristiana Pastoral 3,508,La depresion,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,36,Sicología Cristiana Pastoral 3,511,El Enojo o Ira,2,,,,,,,,,,,,,,
100,Sicología Cristiana Pastoral,36,Sicología Cristiana Pastoral 3,512,El perdon,2,,,,,,,,,,,,,,
78,Clases asociadas,37,Clases asociadas,515,Cargas desde el punto de vista teológico,2,,,,,,,,,,,,,,
78,Clases asociadas,37,Clases asociadas,516,La Cena del Señor,2,,,,,,,,,,,,,,
78,Clases asociadas,37,Clases asociadas,517,El Purgatorio,2,,,,,,,,,,,,,,
78,Clases asociadas,37,Clases asociadas,518,Cuatro enemigos de la Iglesia,2,,,,,,,,,,,,,,
78,Clases asociadas,37,Clases asociadas,519,El Desánimo,2,,,,,,,,,,,,,,
118,Consejeria cristiana,38,Consejeria cristiana,521,Consejeria cristiana,2,,,,,,,,,,,,,,
119,Pre-Tesis,39,Pre-Tesis,522,Pre-Tesis,2,,,,,,,,,,,,,,
120,"Liderazgo Cristiano III
(Carácter Pastoral) Desarrollo Intermedio",40,"Liderazgo Cristiano III
(Carácter Pastoral) Desarrollo Intermedio",523,Carácter Ministerial,3,,,,,,,,,,,,,,
121,Teología Cristiana III - Doctrinas Fundamentales de la Biblia,41,Teología Cristiana III - Doctrinas Fundamentales de la Biblia,525,Teologia y sus ramificaciones,3,,,,,,,,,,,,,,
121,Teología Cristiana III - Doctrinas Fundamentales de la Biblia,41,Teología Cristiana III - Doctrinas Fundamentales de la Biblia,524,Doctrinas biblicas fundamentales,3,,,,,,,,,,,,,,
122,Oración desde el Punto Ministerial,42,Oración desde el Punto Ministerial,526,Oración desde el Punto Ministerial,3,,,,,,,,,,,,,,
123,Bautismo en la Aguas,43,Bautismo en la Aguas,527,Bautizo en las aguas,3,,,,,,,,,,,,,,
124,Crecimiento Espiritual III ,44,Crecimiento Espiritual III ,528,El poder de la fe,3,,,,,,,,,,,,,,
129,Homilética,45,Homilética,540,Homilética,3,,,,,,,,,,,,,,
125,El Arte de la Oratoria,46,El Arte de la Oratoria,529,El Arte de la Enseñanza y la Predicación,3,,,,,,,,,,,,,,
127,Estudio de Proverbios,47,Estudio de Proverbios,534,Estudio de Proverbios,3,,,,,,,,,,,,,,
100,Sicología Pastoral,48,Sicología Pastoral,530,Comunicación en el matrimonio,3,,,,,,,,,,,,,,
100,Sicología Pastoral,48,Sicología Pastoral,531,Infidelidad matrimonial,3,,,,,,,,,,,,,,
100,Sicología Pastoral,48,Sicología Pastoral,532,Circulo de la violencia,3,,,,,,,,,,,,,,
100,Sicología Pastoral,48,Sicología Pastoral,533,Entendiendo la mente,3,,,,,,,,,,,,,,
78,Clases asociadas,49,Clases asociadas,538,Educación Cristiana,3,,,,,,,,,,,,,,
78,Clases asociadas,49,Clases asociadas,535,Justificación - Desde el Punto de Vista Teológico,3,,,,,,,,,,,,,,
78,Clases asociadas,49,Clases asociadas,536,La Revelación de DIOS,3,,,,,,,,,,,,,,
78,Clases asociadas,49,Clases asociadas,537,Pecados Sexuales,3,,,,,,,,,,,,,,
128,Historia de la Iglesia Cristiana,50,Historia de la Iglesia Cristiana,539,Historia de la Iglesia Cristiana,3,,,,,,,,,,,,,,
130,Tomando Control de mi Vida,51,Tomando Control de mi Vida,541,Tomando Control de mi Vida,3,,,,,,,,,,,,,,
119,Pre-Tesis,52,Pre-Tesis,542,Pre-Tesis,3,,,,,,,,,,,,,,
117,Autoridad Espiritual,53,Autoridad Espiritual,543,Autoridad Espiritual,3,,,,,,,,,,,,,,
132,Liderazgo Cristiano IV - Desarrollo avanzado del Líder,54,Liderazgo Cristiano IV - Desarrollo avanzado del Líder,544,Liderazgo Cristiano IV - Desarrollo avanzado del Líder,4,,,,,,,,,,,,,,
133,Demonología,55,Demonología,545,Demonología,4,,,,,,,,,,,,,,
134,Principios del Reino,56,Principios del Reino,546,Principios del Reino,4,,,,,,,,,,,,,,
135,Tabernáculo,57,Tabernáculo,547,Tabernáculo,4,,,,,,,,,,,,,,
136,Raíces Hebreas,58,Raíces Hebreas,548,Raíces Hebreas,4,,,,,,,,,,,,,,
137,Angeología,59,Angeología,549,Angeología,4,,,,,,,,,,,,,,
138,Crecimiento Espiritual  IV,60,Crecimiento Espiritual  IV,550,Pactos Bíblicos,4,,,,,,,,,,,,,,
